,"2020","2020","2020","2020","2020","2020","2019","2019","2019","2019","2019","2019"
,"Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)"
"Country","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural"
"Afghanistan","50","67","45","","","","49","65","43","","",""
"Albania","99","99","99","48","44","54","99","99","99","48","44","53"
"Algeria","86","88","79","18","16","23","86","89","79","18","16","23"
"Andorra","100","100","100","100","100","100","100","100","100","100","100","100"
"Angola","52","65","24","","","","51","65","24","","",""
"Antigua and Barbuda","","","","","","","","","","","",""
"Argentina","","99","","","47","","","98","","","47",""
"Armenia","94","100","83","69","71","","94","100","83","68","69",""
"Australia","100","","","74","","","100","","","73","",""
"Austria","100","100","100","100","100","99","100","100","100","100","100","99"
"Azerbaijan","","96","","","9","","96","96","96","21","10",""
"Bahamas","","","","","","","95","","","","",""
"Bahrain","100","","","91","","","100","","","91","",""
"Bangladesh","54","53","55","39","34","42","53","52","53","38","33","40"
"Barbados","98","","","","","","98","","","","",""
"Belarus","98","98","97","74","80","49","98","98","97","74","80","50"
"Belgium","99","99","99","89","","","99","99","99","88","",""
"Belize","88","94","84","","","","88","94","84","","",""
"Benin","17","27","8","","","","17","26","8","","",""
"Anguilla","","","","","","","","","","","",""
"Bhutan","77","77","76","65","63","67","75","76","74","65","62","66"
"Bolivia (Plurinational State of)","66","75","44","53","60","","64","73","42","51","59",""
"Bosnia and Herzegovina","","99","","","30","","","99","","","30",""
"Botswana","80","91","52","","","","80","91","52","","",""
"Brazil","90","94","63","49","51","","89","94","62","48","50",""
"Brunei Darussalam","","","","","","","","","","","",""
"Bulgaria","86","87","84","72","76","60","86","87","84","70","74","59"
"Burkina Faso","22","40","13","","","","21","41","13","","",""
"Burundi","46","41","46","","","","46","41","46","","",""
"Cabo Verde","79","83","72","","","","77","82","69","","",""
"Cambodia","69","93","61","","","","66","91","58","","",""
"Cameroon","45","61","23","","","","44","60","23","","",""
"Canada","99","99","99","84","84","84","99","99","99","84","84","84"
"Central African Republic","14","25","6","14","24","6","14","26","6","14","25","6"
"Chad","12","40","4","10","32","3","12","39","4","10","31","3"
"Chile","100","100","100","79","81","","100","100","100","77","80",""
"China","92","95","88","70","86","44","91","94","86","68","85","42"
"Colombia","94","96","84","18","17","","93","95","83","18","16",""
"Comoros","","","","","","","36","45","32","","",""
"Congo","20","27","6","","","","20","27","6","","",""
"Cook Islands","99","","","","","","99","","","","",""
"Costa Rica","98","98","97","30","29","37","98","98","96","30","29","36"
"Côte d'Ivoire","35","48","21","","","","34","47","20","","",""
"Croatia","97","98","95","68","76","","97","98","95","69","77",""
"Cuba","91","93","86","37","32","51","91","93","86","37","32","51"
"Cyprus","99","100","99","77","86","","99","100","99","77","86",""
"Czechia","99","99","99","85","","","99","99","99","85","",""
"Democratic People's Republic of Korea","85","92","73","","","1","85","92","73","","","1"
"Democratic Republic of the Congo","15","20","11","13","15","11","16","21","12","13","15","12"
"Denmark","100","100","100","92","","","100","100","100","92","",""
"Djibouti","67","79","22","37","42","21","67","79","22","37","42","21"
"Dominica","","","","","","","","","","","",""
"Dominican Republic","87","89","77","","","","87","89","77","","",""
"Ecuador","92","93","89","42","31","60","91","92","87","42","32","59"
"Egypt","97","100","96","67","73","63","97","99","95","66","72","62"
"El Salvador","82","87","70","","17","","83","87","71","","17",""
"Equatorial Guinea","","","","","","","","","","","",""
"Eritrea","","","","","","","","","","","",""
"Estonia","99","99","99","93","","","99","99","99","93","",""
"Eswatini","64","52","68","","","","64","52","68","","",""
"Ethiopia","9","21","5","7","16","4","9","21","5","6","16","4"
"Fiji","99","99","99","","","","99","99","99","","",""
"Finland","99","99","99","84","","","99","99","99","84","",""
"France","99","99","99","79","","","99","99","99","79","",""
"Gabon","50","51","40","","","","50","51","40","","",""
"Gambia","47","60","26","29","32","24","47","59","27","30","32","26"
"Georgia","86","95","72","34","28","44","86","95","73","35","28","45"
"Germany","99","99","99","97","99","92","99","99","99","97","99","92"
"Ghana","24","28","17","13","12","15","23","28","17","13","12","14"
"Greece","99","99","98","92","97","","99","99","98","91","97",""
"Grenada","","","","","","","","","","","",""
"Guatemala","68","79","56","","","","68","80","55","","",""
"Guinea","30","46","21","","","","28","44","20","","",""
"Guinea-Bissau","18","35","5","12","22","4","17","33","5","12","21","4"
"Guyana","86","92","84","","","","86","92","84","","",""
"Haiti","37","46","25","","","","37","46","25","","",""
"Honduras","84","86","80","50","35","71","83","86","79","49","35","69"
"Hungary","98","98","99","88","91","81","98","98","99","88","91","81"
"Iceland","99","99","100","84","","","99","99","100","84","",""
"India","71","79","67","46","37","51","68","78","63","44","37","48"
"Indonesia","86","92","80","","","","84","90","76","","",""
"Iran (Islamic Republic of)","90","93","82","","","","90","93","82","","",""
"Iraq","100","100","100","43","42","44","99","100","99","43","42","45"
"Ireland","91","90","94","83","89","73","91","90","94","83","89","73"
"Israel","100","100","99","95","95","93","100","100","99","94","94","92"
"Italy","100","100","100","96","96","94","100","100","100","96","96","94"
"Jamaica","87","83","91","","","","87","83","91","","",""
"Japan","100","","","81","","","100","","","81","",""
"Jordan","97","97","95","82","84","","97","97","95","82","84",""
"Kazakhstan","98","97","99","","91","","98","97","99","","91",""
"Kenya","33","36","32","","","29","33","36","31","","","29"
"Kiribati","46","51","39","27","26","27","45","51","38","26","26","27"
"Kuwait","100","","","100","","","100","","","100","",""
"Kyrgyzstan","98","95","100","92","86","96","98","95","99","92","85","96"
"Lao People's Democratic Republic","79","98","69","61","63","60","79","98","69","61","63","60"
"Latvia","92","96","84","83","","","92","96","84","81","",""
"Lebanon","99","","","16","","","99","","","17","",""
"Lesotho","50","47","52","48","39","51","48","46","49","46","38","49"
"Liberia","18","29","6","","","","18","29","6","","",""
"Libya","92","","","22","","","92","","","22","",""
"Lithuania","94","98","86","94","98","86","94","98","86","94","98","86"
"Luxembourg","98","97","99","97","97","89","98","97","99","97","97","89"
"Madagascar","12","19","8","10","14","8","12","18","8","10","14","8"
"Malawi","27","34","25","24","27","24","26","34","25","24","27","23"
"Malaysia","","100","","","","","","100","","","",""
"Maldives","99","100","99","","","","98","100","97","","",""
"Mali","45","56","37","20","10","28","44","55","35","19","9","27"
"Malta","100","100","100","92","","","100","100","100","92","",""
"Marshall Islands","84","91","59","","","","84","91","59","","",""
"Mauritania","50","75","19","","","","49","75","19","","",""
"Mauritius","","96","","","","","","96","","","",""
"Mexico","92","94","86","57","60","","92","93","85","55","57",""
"Micronesia (Federated States of)","","","","","","","88","","","","",""
"Monaco","100","100","","100","100","","100","100","","100","100",""
"Mongolia","68","76","51","56","59","49","67","75","49","55","58","47"
"Montenegro","98","100","94","45","49","39","98","99","94","46","49","39"
"Morocco","87","96","71","39","41","","86","96","70","39","41",""
"Mozambique","37","61","23","","","21","36","60","22","","","20"
"Myanmar","74","79","71","61","53","64","73","79","70","61","54","64"
"Namibia","35","50","20","","","","35","50","20","","",""
"Nauru","","","","","","","","","","","",""
"Nepal","77","76","77","49","42","50","73","74","73","46","41","47"
"Netherlands","98","98","100","97","97","97","98","98","100","97","97","97"
