"Country,""Total Population using at least basic sanitation services (%)"",""Urban Population using at least basic sanitation services (%)"","" Rural Population using at least basic sanitation services (%)"",""Total Population using safely managed sanitation services (%)"",""Urban Population using safely managed sanitation services (%)"",""Rural Population using safely managed sanitation services (%)"""
"Afghanistan,""50"",""67"",""45"","""","""","""""
"Albania,""99"",""99"",""99"",""48"",""44"",""54"""
"Algeria,""86"",""88"",""79"",""18"",""16"",""23"""
"Andorra,""100"",""100"",""100"",""100"",""100"",""100"""
"Angola,""52"",""65"",""24"","""","""","""""
"Antigua and Barbuda,"""","""","""","""","""","""""
"Argentina,"""",""99"","""","""",""47"","""""
"Armenia,""94"",""100"",""83"",""69"",""71"","""""
"Australia,""100"","""","""",""74"","""","""""
"Austria,""100"",""100"",""100"",""100"",""100"",""99"""
"Azerbaijan,"""",""96"","""","""",""9"","""""
"Bahamas,"""","""","""","""","""","""""
"Bahrain,""100"","""","""",""91"","""","""""
"Bangladesh,""54"",""53"",""55"",""39"",""34"",""42"""
"Barbados,""98"","""","""","""","""","""""
"Belarus,""98"",""98"",""97"",""74"",""80"",""49"""
"Belgium,""99"",""99"",""99"",""89"","""","""""
"Belize,""88"",""94"",""84"","""","""","""""
"Benin,""17"",""27"",""8"","""","""","""""
"Anguilla,"""","""","""","""","""","""""
"Bhutan,""77"",""77"",""76"",""65"",""63"",""67"""
"Bolivia (Plurinational State of),""66"",""75"",""44"",""53"",""60"","""""
"Bosnia and Herzegovina,"""",""99"","""","""",""30"","""""
"Botswana,""80"",""91"",""52"","""","""","""""
"Brazil,""90"",""94"",""63"",""49"",""51"","""""
"Brunei Darussalam,"""","""","""","""","""","""""
"Bulgaria,""86"",""87"",""84"",""72"",""76"",""60"""
"Burkina Faso,""22"",""40"",""13"","""","""","""""
"Burundi,""46"",""41"",""46"","""","""","""""
"Cabo Verde,""79"",""83"",""72"","""","""","""""
"Cambodia,""69"",""93"",""61"","""","""","""""
"Cameroon,""45"",""61"",""23"","""","""","""""
"Canada,""99"",""99"",""99"",""84"",""84"",""84"""
"Central African Republic,""14"",""25"",""6"",""14"",""24"",""6"""
"Chad,""12"",""40"",""4"",""10"",""32"",""3"""
"Chile,""100"",""100"",""100"",""79"",""81"","""""
"China,""92"",""95"",""88"",""70"",""86"",""44"""
"Colombia,""94"",""96"",""84"",""18"",""17"","""""
"Comoros,"""","""","""","""","""","""""
"Congo,""20"",""27"",""6"","""","""","""""
"Cook Islands,""99"","""","""","""","""","""""
"Costa Rica,""98"",""98"",""97"",""30"",""29"",""37"""
"Côte d'Ivoire,""35"",""48"",""21"","""","""","""""
"Croatia,""97"",""98"",""95"",""68"",""76"","""""
"Cuba,""91"",""93"",""86"",""37"",""32"",""51"""
"Cyprus,""99"",""100"",""99"",""77"",""86"","""""
"Czechia,""99"",""99"",""99"",""85"","""","""""
"Democratic People's Republic of Korea,""85"",""92"",""73"","""","""",""1"""
"Democratic Republic of the Congo,""15"",""20"",""11"",""13"",""15"",""11"""
"Denmark,""100"",""100"",""100"",""92"","""","""""
"Djibouti,""67"",""79"",""22"",""37"",""42"",""21"""
"Dominica,"""","""","""","""","""","""""
"Dominican Republic,""87"",""89"",""77"","""","""","""""
"Ecuador,""92"",""93"",""89"",""42"",""31"",""60"""
"Egypt,""97"",""100"",""96"",""67"",""73"",""63"""
"El Salvador,""82"",""87"",""70"","""",""17"","""""
"Equatorial Guinea,"""","""","""","""","""","""""
"Eritrea,"""","""","""","""","""","""""
"Estonia,""99"",""99"",""99"",""93"","""","""""
"Eswatini,""64"",""52"",""68"","""","""","""""
"Ethiopia,""9"",""21"",""5"",""7"",""16"",""4"""
"Fiji,""99"",""99"",""99"","""","""","""""
"Finland,""99"",""99"",""99"",""84"","""","""""
"France,""99"",""99"",""99"",""79"","""","""""
