Country;Total Population using at least basic drinking-water services (%);Urban Population using at least basic drinking-water services (%);Rural Population using at least basic drinking-water services (%);Total Population using safely managed drinking-water services (%);Urban Population using safely managed drinking-water services (%);Rural Population using safely managed drinking-water services (%)
Afghanistan;50;67;45;;;
Albania;99;99;99;48;44;54
Algeria;86;88;79;18;16;23
Andorra;100;100;100;100;100;100
Angola;52;65;24;;;
Anguilla;;;;;;
Antigua_and_Barbuda;;;;;;
Argentina;;99;;;47;
Armenia;94;100;83;69;71;
Aruba;;;;;;
Australia;100;;;74;;
Austria;100;100;100;100;100;99
Azerbaijan;;96;;;9;
Bahamas;;;;;;
Bahrain;100;;;91;;
Bangladesh;54;53;55;39;34;42
Barbados;98;;;;;
Belarus;98;98;97;74;80;49
Belgium;99;99;99;89;;
Belize;88;94;84;;;
Benin;17;27;8;;;
Bhutan;77;77;76;65;63;67
Bolivia;66;75;44;53;60;
Bonaire, Saint Eustatius and Saba;;;;;;
Bosnia_and_Herzegovina;96;95;97;89;;
Botswana;92;98;79;;83;
Brazil;99;100;96;86;88;72
British_Virgin_Islands;;;;;;
Brunei_Darussalam;100;100;;;;
Bulgaria;99;100;97;98;;
Burkina_Faso;47;80;33;;;
Burundi;62;91;58;;;
Cape_Verde;89;93;80;;;
Cambodia;71;90;65;28;57;18
Cameroon;66;82;44;;;
Canada;99;99;99;99;;
Cayman_Islands;;;;;;
Central_African_Republic;37;50;28;6;12;2
Chad;46;74;38;6;17;2
Chile;100;100;100;99;99;
China;94;97;90;;95;
Colombia;97;100;87;73;80;40
Comoros;;;;;;
Congo;74;87;46;46;59;19
Costa_Rica;98;98;97;30;29;37
Cote_dIvoire;35;48;21;;;
Croatia;97;98;95;68;76;
Cuba;91;93;86;37;32;51
Cyprus;99;100;99;77;86;
Czechia;99;99;99;85;;
Democratic_Republic_of_the_Congo;46;75;22;19;40;1
Denmark;100;100;100;97;;
Djibouti;76;84;47;;;
Dominica;;;;;;
Dominican_Republic;97;98;90;;;
Ecuador;95;100;87;67;75;53
Egypt;99;100;99;;;
El_Salvador;98;100;93;;77;
Equatorial_Guinea;;;;;;
Eritrea;;;;;;
Estonia;100;100;;96;;
Eswatini;71;97;62;;89;
Ethiopia;50;84;40;13;39;5
Falkland_Islands_(Malvinas);;;;;;
Faroe_Islands;;;;;;
Fiji;99;99;99;;;
Finland;99;99;99;84;;
French_Polynesia;;;;;;
France;99;99;99;79;;
Gabon;50;51;40;;;
Gambia;47;60;26;29;32;24
Georgia;86;95;72;34;28;44
Germany;99;99;99;97;99;92
Ghana;24;28;17;13;12;15
Gibraltar;;;;;;
Greece;99;99;98;92;97;
Grenada;;;;;;
Guam;;;;;;
Guatemala;68;79;56;;;
Guernsey;;;;;;
Guinea;30;46;21;;;
Guinea_Bissau;18;35;5;12;22;4
Guyana;86;92;84;;;
Haiti;37;46;25;;;
Holy_See;;;;;;
Honduras;84;86;80;50;35;71
Hungary;98;98;99;88;91;81
Iceland;99;99;100;84;;
India;71;79;67;46;37;51
Indonesia;86;92;80;;;
Iran;90;93;82;;;
Iraq;100;100;100;43;42;44
Ireland;91;90;94;83;89;73
Isle_of_Man;;;;;;
Israel;100;100;99;95;95;93
Italy;100;100;100;96;96;94
Jamaica;87;83;91;;;
Japan;100;;;81;;
Jersey;;;;;;
Jordan;97;97;95;82;84;
Kazakhstan;98;97;99;;91;
Kenya;33;36;32;;;29
Kosovo;;;;;;
Kuwait;100;;;100;;
Kyrgyzstan;98;95;100;92;86;96
Laos;79;98;69;61;63;60
Latvia;92;96;84;83;;
Lebanon;99;;;16;;
Lesotho;50;47;52;48;39;51
Liberia;18;29;6;;;
Libya;92;;;22;;
Liechtenstein;;;;;;
Lithuania;94;98;86;94;98;86
Luxembourg;98;97;99;97;97;89
