"""Country"",""Total Population using at least basic drinking-water services (%)"",""Urban Population using at least basic drinking-water services (%)"",""Rural Population using at least basic drinking-water services (%)"",""Total Population using safely managed drinking-water services (%)"",""Urban Population using safely managed drinking-water services (%)"",""Rural Population using safely managed drinking-water services (%)"""
"Afghanistan,""75"",""100"",""66"",""28"",""36"",""24"""
"Albania,""95"",""96"",""94"",""71"","""","""""
"Algeria,""94"",""96"",""90"",""72"",""74"",""69"""
"Andorra,""100"",""100"",""100"",""91"","""","""""
"Angola,""57"",""72"",""28"","""","""","""""
"Antigua and Barbuda,"""","""","""","""","""","""""
"Argentina,"""",""100"","""","""","""","""""
"Armenia,""100"",""100"",""100"",""87"","""","""""
"Australia,""100"",""100"",""100"","""",""99"","""""
"Austria,""100"",""100"",""100"",""99"","""","""""
"Azerbaijan,""96"",""100"",""91"",""88"",""96"",""78"""
"Bahamas,"""","""","""","""","""","""""
"Bahrain,""100"","""","""",""99"","""","""""
"Bangladesh,""98"",""97"",""98"",""59"",""53"",""62"""
"Barbados,""99"","""","""","""","""","""""
"Belarus,""97"",""96"",""99"",""95"","""","""""
"Belgium,""100"",""100"",""100"",""100"","""","""""
"Belize,""98"",""99"",""98"","""","""","""""
"Benin,""65"",""73"",""58"","""","""","""""
"Anguilla,"""","""","""","""","""","""""
"Bhutan,""97"",""98"",""97"",""37"",""49"",""28"""
"Bolivia (Plurinational State of),""93"",""99"",""80"","""","""","""""
"Bosnia and Herzegovina,""96"",""95"",""97"",""89"","""","""""
"Botswana,""92"",""98"",""79"","""",""83"","""""
"Brazil,""99"",""100"",""96"",""86"",""88"",""72"""
"Brunei Darussalam,""100"",""100"","""","""","""","""""
"Bulgaria,""99"",""100"",""97"",""98"","""","""""
"Burkina Faso,""47"",""80"",""33"","""","""","""""
"Burundi,""62"",""91"",""58"","""","""","""""
"Cabo Verde,""89"",""93"",""80"","""","""","""""
"Cambodia,""71"",""90"",""65"",""28"",""57"",""18"""
"Cameroon,""66"",""82"",""44"","""","""","""""
"Canada,""99"",""99"",""99"",""99"","""","""""
"Central African Republic,""37"",""50"",""28"",""6"",""12"",""2"""
"Chad,""46"",""74"",""38"",""6"",""17"",""2"""
"Chile,""100"",""100"",""100"",""99"",""99"","""""
"China,""94"",""97"",""90"","""",""95"","""""
"Colombia,""97"",""100"",""87"",""73"",""80"",""40"""
"Comoros,"""","""","""","""","""","""""
"Congo,""74"",""87"",""46"",""46"",""59"",""19"""
"Cook Islands,""100"","""","""","""","""","""""
"Costa Rica,""100"",""100"",""100"",""81"",""80"",""81"""
"Côte d'Ivoire,""71"",""85"",""56"",""35"",""54"",""15"""
"Croatia,"""",""100"","""","""",""94"","""""
"Cuba,""97"",""98"",""94"","""","""","""""
"Cyprus,""100"",""100"",""100"",""100"","""","""""
"Czechia,""100"",""100"",""100"",""98"",""98"",""98"""
"Democratic People's Republic of Korea,""94"",""97"",""89"",""66"",""77"",""49"""
"Democratic Republic of the Congo,""46"",""75"",""22"",""19"",""40"",""1"""
"Denmark,""100"",""100"",""100"",""97"","""","""""
"Djibouti,""76"",""84"",""47"","""","""","""""
"Dominica,"""","""","""","""","""","""""
"Dominican Republic,""97"",""98"",""90"","""","""","""""
"Ecuador,""95"",""100"",""87"",""67"",""75"",""53"""
"Egypt,""99"",""100"",""99"","""","""","""""
"El Salvador,""98"",""100"",""93"","""",""77"","""""
"Equatorial Guinea,"""","""","""","""","""","""""
"Eritrea,"""","""","""","""","""","""""
"Estonia,""100"",""100"","""",""96"","""","""""
"Eswatini,""71"",""97"",""62"","""",""89"","""""
"Ethiopia,""50"",""84"",""40"",""13"",""39"",""5"""
"Fiji,""94"",""98"",""89"","""","""","""""
"Finland,""100"",""100"",""100"",""100"","""","""""
"France,""100"",""100"",""100"",""99"",""100"","""""
"Gabon,""85"",""90"",""45"","""","""","""""
"Gambia,""81"",""88"",""69"",""45"",""67"",""8"""
"Georgia,""97"",""99"",""94"",""66"",""84"",""40"""
"Germany,""100"",""100"",""100"",""100"","""","""""
